scheme_id,name,name_hindi,category,level,state,ministry,description,benefits,benefit_amount,age_min,age_max,gender,income_limit_annual,income_limit_display,caste_category,occupation,is_bpl_required,land_holding_max_acres,education_requirement,disability_applicable,marital_status,domicile_required,documents_required,application_mode,application_url,official_pdf_url,launched_year,deadline,target_beneficiaries,chunk_count,active,last_updated
scheme_pmkisan,PM Kisan Samman Nidhi (PM-KISAN),...
scheme_pmfby,Pradhan Mantri Fasal Bima Yojana (PMFBY),...
scheme_kcc,Kisan Credit Card (KCC),...
scheme_soil_health_card,Soil Health Card Scheme,...
scheme_pmksy,PM Krishi Sinchai Yojana (PMKSY),...
scheme_enam,Electronic National Agriculture Market (e-NAM),...
scheme_pkvy,Paramparagat Krishi Vikas Yojana (PKVY),...
scheme_pm_kisan_maan_dhan,PM Kisan Maan Dhan Yojana (PM-KMY),...
scheme_pmay,Pradhan Mantri Awas Yojana (PMAY) — Urban,...
scheme_pmay_gramin,Pradhan Mantri Awas Yojana — Gramin (PMAY-G),...
scheme_pmjay,Pradhan Mantri Jan Arogya Yojana (PM-JAY) — Ayushman Bharat,...
scheme_jsy,Janani Suraksha Yojana (JSY),...
scheme_pmmvy,Pradhan Mantri Matru Vandana Yojana (PMMVY),...
scheme_pmsby,Pradhan Mantri Suraksha Bima Yojana (PMSBY),...
scheme_pmjjby,Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),...
scheme_nhm_rsby,Rashtriya Swasthya Bima Yojana (RSBY),...
scheme_nsp_postmatric_sc,Post-Matric Scholarship for SC Students,...
scheme_nsp_postmatric_obc,Post-Matric Scholarship for OBC Students,...
scheme_nsp_prematric_sc,Pre-Matric Scholarship for SC Students (Class 9-10),...
scheme_nsp_minority,Pre-Matric and Post-Matric Scholarship for Minorities,...
scheme_pmrf,PM Research Fellowship (PMRF),...
scheme_mid_day_meal,PM POSHAN (Mid-Day Meal Scheme),...
scheme_nsp_top_class_sc,Top Class Education for SC Students,...
scheme_mgnregs,Mahatma Gandhi National Rural Employment Guarantee Scheme (MGNREGS),...
scheme_pmmy_shishu,Pradhan Mantri MUDRA Yojana — Shishu Loan,...
scheme_pmmy_kishore,Pradhan Mantri MUDRA Yojana — Kishore Loan,...
scheme_pmmy_tarun,Pradhan Mantri MUDRA Yojana — Tarun Loan,...
scheme_pmkvy,Pradhan Mantri Kaushal Vikas Yojana (PMKVY),...
scheme_pmegp,Prime Minister's Employment Generation Programme (PMEGP),...
scheme_pm_svanidhi,PM Street Vendor's AtmaNirbhar Nidhi (PM SVANidhi),...
scheme_standup_india,Stand-Up India Scheme,...
scheme_atal_pension,Atal Pension Yojana (APY),...
scheme_nsap_ignoaps,Indira Gandhi National Old Age Pension Scheme (IGNOAPS),...
scheme_igndps,Indira Gandhi National Disability Pension Scheme (IGNDPS),...
scheme_bbbp,Beti Bachao Beti Padhao (BBBP),...
scheme_sukanya_samriddhi,Sukanya Samriddhi Yojana (SSY),...
scheme_one_stop_centre,One Stop Centre Scheme (Sakhi),...
scheme_poshan_abhiyan,POSHAN Abhiyaan (National Nutrition Mission),...
scheme_pmjdy,Pradhan Mantri Jan Dhan Yojana (PMJDY),...
scheme_gu_mksyj,Mukhyamantri Kisan Sahay Yojana (MKSY) — Gujarat,...
scheme_gu_ikhedut,iKhedut Portal Subsidy Schemes — Gujarat,...
scheme_gu_vahali_dikri,Vahali Dikri Yojana — Gujarat,...
scheme_gu_manav_garima,Manav Garima Yojana — Gujarat (SC),...
scheme_gu_namo_shree,Namo Shree Yojana — Gujarat,...
scheme_mh_ladki_bahin,Mukhyamantri Majhi Ladki Bahin Yojana — Maharashtra,...
scheme_mh_shasan_aplya_dari,Shasan Aplya Dari — Maharashtra,...
scheme_mh_namo_shetkari,Namo Shetkari Maha Samman Nidhi — Maharashtra,...
scheme_tn_chief_minister_breakfast,Chief Minister's Breakfast Scheme — Tamil Nadu,...
scheme_tn_kalaignar_magalir_urimai,Kalaignar Magalir Urimai Thogai Thittam — Tamil Nadu,...
scheme_tn_scholarship_sc,Tamil Nadu SC/ST Scholarship — Post-Matric,...
scheme_up_kisan_karj_rahat,UP Kisan Karj Rahat Yojana — Uttar Pradesh,...
scheme_up_mukhyamantri_kanya_sumangala,Mukhyamantri Kanya Sumangala Yojana — Uttar Pradesh,...
scheme_up_vridha_pension,Vridhavastha Samman Pension Yojana — Uttar Pradesh,...
scheme_rj_chiranjeevi,Mukhyamantri Chiranjeevi Swasthya Bima Yojana — Rajasthan,...
scheme_rj_annapurna_food,Annapurna Food Packet Yojana — Rajasthan,...
scheme_wb_lakshmir_bhandar,Lakshmir Bhandar — West Bengal,...
scheme_wb_kanyashree,Kanyashree Prakalpa — West Bengal,...
scheme_ka_gruha_lakshmi,Gruha Lakshmi Scheme — Karnataka,...
scheme_ka_yuva_nidhi,Yuva Nidhi Scheme — Karnataka,...
scheme_mp_ladli_behna,Mukhyamantri Ladli Behna Yojana — Madhya Pradesh,...
scheme_ap_jagananna_gorumudda,Jagananna Gorumudda — Andhra Pradesh,...
scheme_ap_ysrcp_housing,YSR Housing Scheme (Pedalandariki Illu) — Andhra Pradesh,...
scheme_ts_rythu_bandhu,Telangana Rythu Bandhu Scheme,...
scheme_kl_karunya_health,Karunya Health Scheme — Kerala,...
scheme_pb_aam_aadmi_clinic,Aam Aadmi Clinic — Punjab,...
scheme_nfsa_pds,National Food Security Act — PDS (Ration Card),...
scheme_pm_garib_kalyan_anna,PM Garib Kalyan Anna Yojana (PMGKAY),...
scheme_startup_india,Startup India Scheme,...
scheme_ddugky,Deen Dayal Upadhyaya Grameen Kaushalya Yojana (DDU-GKY),...
scheme_pm_vishwakarma,PM Vishwakarma Yojana,...
scheme_ugc_sc_st_fellowship,UGC Rajiv Gandhi National Fellowship for SC/ST,...
scheme_pm_awas_plus,PM Awas Yojana 2.0 (Urban) — Extended,...
scheme_agnipath_agniveer,Agnipath Scheme — Agniveer,...
