scheme_id,name,name_hindi,category,level,state,ministry,description,benefits,benefit_amount,age_min,age_max,gender,income_limit_annual,income_limit_display,caste_category,occupation,is_bpl_required,land_holding_max_acres,education_requirement,disability_applicable,marital_status,domicile_required,documents_required,application_mode,application_url,official_pdf_url,launched_year,deadline,target_beneficiaries,chunk_count,active,last_updated
scheme_pmkisan,PM Kisan Samman Nidhi (PM-KISAN),प्रधानमंत्री किसान सम्मान निधि,agriculture,central,,Ministry of Agriculture & Farmers Welfare,Direct income support of Rs. 6000 per year to all small and marginal farmers having cultivable land up to 2 hectares.,Rs. 6000 per year in 3 equal installments of Rs. 2000 directly credited to bank account,6000,18,,All,,No income limit (land-based eligibility),All,Farmer,No,4.94,None,Yes,Any,Yes,"Aadhaar card, Land records (Khatauni/Patta), Bank passbook, Mobile number",Online/Offline,https://pmkisan.gov.in,https://pmkisan.gov.in/Documents/Pmkisan_Operational_Guidelines.pdf,2019,No fixed deadline,Small and marginal farmers,1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_pmfby,Pradhan Mantri Fasal Bima Yojana (PMFBY),प्रधानमंत्री फसल बीमा योजना,agriculture,central,,Ministry of Agriculture & Farmers Welfare,"Crop insurance scheme providing financial support to farmers suffering crop loss/damage due to unforeseen events like natural calamities, pests and diseases.","Insurance coverage for crop loss; Premium subsidized by government (2% for Kharif, 1.5% for Rabi, 5% for commercial crops)",Varies by crop and state notified sum insured,18,,All,,No income limit,All,Farmer,No,,None,Yes,Any,Yes,"Aadhaar card, Land records, Bank account, Sowing certificate",Online/Offline,https://pmfby.gov.in,https://pmfby.gov.in/pdf/PMFBY_Operational_Guidelines.pdf,2016,Season-specific cut-off dates,All farmers growing notified crops,1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_kcc,Kisan Credit Card (KCC),किसान क्रेडिट कार्ड,agriculture,central,,Ministry of Agriculture & Farmers Welfare,"Short-term credit to farmers for their cultivation needs, post-harvest expenses, and maintenance of farm assets at subsidized interest rates.","Credit up to Rs. 3 lakh at 4% interest rate (after interest subvention); Personal accident insurance of Rs. 50,000",Up to 300000 credit,18,75,All,,No income limit,All,Farmer/Fisher/Animal Husbandry,No,,None,Yes,Any,Yes,"Aadhaar card, PAN card, Land records, Passport-size photo, Bank account",Offline,https://pmkisan.gov.in/KCC.aspx,https://www.nabard.org/auth/writereaddata/tender/1606180417KCC_Revised_guidelines.pdf,1998,No fixed deadline,"Farmers, fishers, animal husbandry workers",1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_soil_health_card,Soil Health Card Scheme,मृदा स्वास्थ्य कार्ड योजना,agriculture,central,,Ministry of Agriculture & Farmers Welfare,Soil testing and providing soil health cards to farmers with crop-wise recommendations of nutrients and fertilizers for individual farms to improve soil health.,Free soil health card every 2 years with nutrient status and recommendations; Improved crop yield,Free service,18,,All,,No income limit,All,Farmer,No,,None,Yes,Any,Yes,"Aadhaar card, Land records",Offline,https://soilhealth.dac.gov.in,https://soilhealth.dac.gov.in/Content/PDF/soil_health.pdf,2015,No fixed deadline,All farmers,1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_pmksy,PM Krishi Sinchai Yojana (PMKSY),प्रधानमंत्री कृषि सिंचाई योजना,agriculture,central,,Ministry of Jal Shakti / Ministry of Agriculture & Farmers Welfare,"Converge investments in irrigation, expand cultivable area under assured irrigation, improve on-farm water use efficiency to reduce water wastage.",Subsidy of 55% for small/marginal farmers and 45% for other farmers on micro-irrigation equipment; Improved water access,55% subsidy on drip/sprinkler systems for small/marginal farmers,18,,All,,No income limit,All,Farmer,No,,None,Yes,Any,Yes,"Aadhaar, Land ownership documents, Bank account, Passport photo",Online/Offline,https://pmksy.gov.in,https://pmksy.gov.in/MicroIrrigation/WriteReadData/Notice/PMKSY-Operational-Guidelines.pdf,2015,No fixed deadline,Farmers (priority to small/marginal),1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_enam,Electronic National Agriculture Market (e-NAM),राष्ट्रीय कृषि बाजार,agriculture,central,,Ministry of Agriculture & Farmers Welfare,Online trading platform for agricultural commodities allowing farmers to sell directly to buyers across the country getting better prices.,Access to larger markets; Better price discovery; Reduced middlemen; Online payment directly to bank,Better market prices (no fixed amount),18,,All,,No income limit,All,Farmer,No,,None,Yes,Any,Yes,"Aadhaar, Bank account, Mobile number, Land/produce documents",Online,https://enam.gov.in,https://enam.gov.in/NAM/home/index.html,2016,No fixed deadline,Farmers and traders,1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_pkvy,Paramparagat Krishi Vikas Yojana (PKVY),परम्परागत कृषि विकास योजना,agriculture,central,,Ministry of Agriculture & Farmers Welfare,Promotion of organic farming through cluster approach; financial assistance for organic certification and marketing.,"Rs. 50,000 per hectare for 3 years; Rs. 31,000 for on-farm input production and organic management; Rs. 8,800 for value addition and marketing",50000 per hectare for 3 years,18,,All,,No income limit,All,Farmer,No,,None,Yes,Any,Yes,"Aadhaar, Land records, Group formation certificate, Bank account",Offline,https://pgsindia-ncof.gov.in,https://pgsindia-ncof.gov.in/PKVY/index.aspx,2015,No fixed deadline,Farmers forming clusters of 50 for organic farming,1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_pm_kisan_maan_dhan,PM Kisan Maan Dhan Yojana (PM-KMY),प्रधानमंत्री किसान मान-धन योजना,agriculture,central,,Ministry of Agriculture & Farmers Welfare,Pension scheme for small and marginal farmers ensuring minimum pension after age 60.,Minimum assured pension of Rs. 3000 per month after age 60; Family pension of Rs. 1500 per month for spouse on farmer's death,3000 per month pension,18,40,All,,No income limit (land-based),All,Small/Marginal Farmer,No,4.94,None,Yes,Any,Yes,"Aadhaar, IFSC code, Bank account, Land records",Online/Offline,https://maandhan.in,https://maandhan.in/assets/pdf/pmkmy.pdf,2019,Open enrollment,Small/marginal farmers aged 18-40,1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_pmay,Pradhan Mantri Awas Yojana (PMAY) — Urban,प्रधानमंत्री आवास योजना (शहरी),housing,central,,Ministry of Housing and Urban Affairs,"Housing for All by 2022 mission providing affordable housing to urban poor including EWS, LIG and MIG categories through credit linked subsidy, in-situ slum redevelopment and beneficiary-led construction.",Credit Linked Subsidy up to Rs. 2.67 lakh for EWS/LIG; Rs. 2.35 lakh for MIG-I; Rs. 2.30 lakh for MIG-II; Central assistance of Rs. 1.5 lakh for BLC,267000 credit subsidy for EWS/LIG,18,,All,1800000,EWS: Up to Rs. 3 lakh/year; LIG: Rs. 3-6 lakh; MIG-I: Rs. 6-12 lakh; MIG-II: Rs. 12-18 lakh,All,Any,No,,None,Yes,Any,Yes,"Aadhaar, PAN card, Income certificate, Address proof, Bank account, Property documents (if applicable), Caste certificate (if SC/ST)",Online/Offline,https://pmaymis.gov.in,https://mohua.gov.in/upload/uploadfiles/files/PMAY(U)_Guidelines.pdf,2015,"March 31, 2024 (extended under PMAY 2.0)","Urban poor, EWS/LIG/MIG households without pucca house",1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
scheme_pmay_gramin,Pradhan Mantri Awas Yojana — Gramin (PMAY-G),प्रधानमंत्री आवास योजना (ग्रामीण),housing,central,,Ministry of Rural Development,Providing housing assistance to the rural poor for constructing pucca houses with basic amenities.,"Rs. 1.20 lakh in plain areas; Rs. 1.30 lakh in hilly/NE/IAP districts; MGNREGS wages of 90-95 days; Toilet assistance of Rs. 12,000",120000 (plain) / 130000 (hilly),18,,All,,SECC 2011 data based; BPL preferred,All (SC/ST/minorities priority),Any rural,Yes (SECC-based),,None,Yes,Any,Yes,"Aadhaar, BPL card/SECC data, Bank account, Job card (MGNREGS), Land ownership proof",Offline,https://pmayg.nic.in,https://pmayg.nic.in/netiay/Uploaded/English_Book_Final.pdf,2016,Ongoing,Houseless rural poor; SECC 2011 listed households,1,true,"March 24, 2026 at 12:00:00 AM UTC+5:30"
